Township Name,Sale date,Street,Type,Tenure,Storey,Bedrooms,Land area,Built-up,Price,Price PSF
"TAMAN BUKIT INDAH, Iskandar Puteri (Nusajaya), Johor",09/03/2023,JALAN INDAH 5/13,Terrace House - intermediate,Freehold,2,-,"1,173 sq. ft.",-,"RM 580,000",RM 494
"TAMAN BUKIT INDAH, Iskandar Puteri (Nusajaya), Johor",01/03/2023,JALAN INDAH 19/8,Terrace House - intermediate,Freehold,2,-,"1,399 sq. ft.",-,"RM 630,000",RM 450
"TAMAN BUKIT INDAH, Iskandar Puteri (Nusajaya), Johor",24/02/2023,JALAN INDAH 1/9,Terrace House - end lot,Freehold,2,-,"1,877 sq. ft.",-,"RM 580,000",RM 309
"TAMAN BUKIT INDAH, Iskandar Puteri (Nusajaya), Johor",21/02/2023,JALAN INDAH 1/24,Terrace House - intermediate,Freehold,1,-,"1,399 sq. ft.",-,"RM 500,000",RM 357
"TAMAN BUKIT INDAH, Iskandar Puteri (Nusajaya), Johor",21/02/2023,JALAN INDAH 22/5,Terrace House - end lot,Freehold,1,-,"1,765 sq. ft.",-,"RM 480,000",RM 272
"TAMAN BUKIT INDAH, Iskandar Puteri (Nusajaya), Johor",17/02/2023,JALAN INDAH 24/10,Terrace House - intermediate,Freehold,2,-,"1,302 sq. ft.",-,"RM 396,000",RM 304
"TAMAN BUKIT INDAH, Iskandar Puteri (Nusajaya), Johor",17/02/2023,JALAN INDAH 4/3,Terrace House - end lot,Freehold,1,-,"2,090 sq. ft.",-,"RM 550,000",RM 263
"TAMAN BUKIT INDAH, Iskandar Puteri (Nusajaya), Johor",15/02/2023,JALAN INDAH 19/1A,Terrace House - intermediate,Freehold,2,-,"1,862 sq. ft.",-,"RM 540,000",RM 290
"TAMAN BUKIT INDAH, Iskandar Puteri (Nusajaya), Johor",14/02/2023,JALAN INDAH 5/11,Terrace House - corner lot,Freehold,2,-,"2,573 sq. ft.",-,"RM 610,000",RM 237
"TAMAN BUKIT INDAH, Iskandar Puteri (Nusajaya), Johor",13/02/2023,JALAN INDAH 1/8,Terrace House - intermediate,Freehold,2,-,"1,170 sq. ft.",-,"RM 580,000",RM 496
"TAMAN KOTA MASAI, Pasir Gudang, Johor",07/03/2023,JALAN TEMBIKAI 16,Terrace House - intermediate,Freehold,2,-,775 sq. ft.,-,"RM 220,000",RM 284
"TAMAN KOTA MASAI, Pasir Gudang, Johor",01/03/2023,JALAN CIKU 40,Terrace House - intermediate,Freehold,1,-,"1,399 sq. ft.",-,"RM 350,000",RM 250
"TAMAN KOTA MASAI, Pasir Gudang, Johor",21/02/2023,JALAN PULASAN 13,Terrace House - intermediate,Freehold,2,-,775 sq. ft.,-,"RM 250,000",RM 323
"TAMAN KOTA MASAI, Pasir Gudang, Johor",20/02/2023,JALAN MANGGA 11,Terrace House - intermediate,Freehold,1,-,"1,302 sq. ft.",-,"RM 360,000",RM 277
"TAMAN KOTA MASAI, Pasir Gudang, Johor",13/02/2023,JALAN BACANG 26,Terrace House - corner lot,Freehold,1,-,"2,691 sq. ft.",-,"RM 380,000",RM 141
"TAMAN KOTA MASAI, Pasir Gudang, Johor",07/02/2023,JALAN DUKU 9,Terrace House - intermediate,Freehold,2,-,775 sq. ft.,-,"RM 280,000",RM 361
"TAMAN KOTA MASAI, Pasir Gudang, Johor",06/02/2023,JALAN PULASAN 5,Terrace House - intermediate,Freehold,2,-,775 sq. ft.,-,"RM 280,000",RM 361
"TAMAN KOTA MASAI, Pasir Gudang, Johor",03/02/2023,JALAN PULASAN 38,Terrace House - intermediate,Freehold,2,-,880 sq. ft.,-,"RM 380,000",RM 432
"TAMAN KOTA MASAI, Pasir Gudang, Johor",19/01/2023,JALAN NENAS 28,Terrace House - intermediate,Freehold,2,-,770 sq. ft.,-,"RM 265,000",RM 344
"TAMAN KOTA MASAI, Pasir Gudang, Johor",16/01/2023,JALAN PULASAN 12,Terrace House - intermediate,Freehold,2,-,775 sq. ft.,-,"RM 300,000",RM 387
"BANDAR PUTRA, Kulai, Johor",21/02/2023,JALAN KASAWARI 11,Terrace House - intermediate,Freehold,2,-,"1,539 sq. ft.",-,"RM 470,000",RM 305
"BANDAR PUTRA, Kulai, Johor",20/02/2023,JALAN MEWAH UTAMA,Cluster House,Freehold,2,-,"2,368 sq. ft.",-,"RM 700,000",RM 296
"BANDAR PUTRA, Kulai, Johor",17/02/2023,JALAN KASAWARI 8,Terrace House - intermediate,Freehold,2,-,"1,539 sq. ft.",-,"RM 465,000",RM 302
"BANDAR PUTRA, Kulai, Johor",10/02/2023,JALAN MEWAH UTAMA,Cluster House,Freehold,2,-,"2,476 sq. ft.",-,"RM 750,000",RM 303
"BANDAR PUTRA, Kulai, Johor",03/02/2023,JALAN MERAK 5,Terrace House - intermediate,Freehold,1,-,"1,539 sq. ft.",-,"RM 360,000",RM 234
"BANDAR PUTRA, Kulai, Johor",03/02/2023,JALAN LENGKUNGAN INDAH 5,Bungalow,Freehold,2,-,"9,031 sq. ft.",-,"RM 1,700,000",RM 188
"BANDAR PUTRA, Kulai, Johor",01/02/2023,JALAN CENGAL 16,Terrace House - intermediate,Freehold,2,-,775 sq. ft.,-,"RM 50,000",RM 65
"BANDAR PUTRA, Kulai, Johor",26/01/2023,JALAN KENARI 12,Terrace House - intermediate,Freehold,1,-,"1,948 sq. ft.",-,"RM 450,000",RM 231
